county,year,ces_score
Los Angeles,2014,53.8348275897275
Los Angeles,2014,53.8327460699754
Riverside ,2014,53.80364775398
Los Angeles,2014,53.7641690139664
Los Angeles,2014,53.6698625037155
Los Angeles,2014,53.6446140562714
San Bernardino,2014,53.6055994412036
San Bernardino,2014,53.5182403925733
Riverside ,2014,53.455942276846
Los Angeles,2014,53.3913536969522
Riverside ,2014,53.3312080425506
Riverside ,2014,53.291889239187
Los Angeles,2014,53.2861311040392
San Bernardino,2014,53.2747933278325
Los Angeles,2014,53.254519861383
Los Angeles,2014,53.225258421343
San Bernardino,2014,53.2128984238014
Los Angeles,2014,53.1954874895297
Los Angeles,2014,53.1802216717182
Los Angeles,2014,53.14055536677
Los Angeles,2014,53.0982443559282
Los Angeles,2014,53.097855330027
Los Angeles,2014,53.0950901204661
Los Angeles,2014,53.0656632886702
Los Angeles,2014,53.062269885239296
Orange ,2014,53.0347895057812
Riverside ,2014,53.0296809439832
Los Angeles,2014,53.0175071507494
Orange ,2014,53.008556594398094
Los Angeles,2014,53.0081275937832
Los Angeles,2014,52.997173715930096
Los Angeles,2014,52.9835930723007
Los Angeles,2014,52.9710285649805
Los Angeles,2014,52.9692368587532
Los Angeles,2014,52.9396708398672
Orange ,2014,52.9255853406746
Los Angeles,2014,52.8814231969668
Los Angeles,2014,52.8661649759887
Los Angeles,2014,52.801695526537
Orange ,2014,52.7941913669494
Los Angeles,2014,52.7845484278954
Los Angeles,2014,52.7672608319304
Los Angeles,2014,52.7635895204598
Los Angeles,2014,52.7318452387312
Los Angeles,2014,52.7293910331988
Los Angeles,2014,52.7242405061403
Los Angeles,2014,52.7020926627823
Los Angeles,2014,52.6788262707459
Sacramento ,2014,52.6657692542914
Los Angeles,2014,52.6534707873208
Los Angeles,2014,52.636094599428
Los Angeles,2014,52.6314929845272
Los Angeles,2014,52.6247592043183
Los Angeles,2014,52.6092090658831
Los Angeles,2014,52.6052363125673
Los Angeles,2014,52.5708063423596
Los Angeles,2014,52.5533176759783
Los Angeles,2014,52.5473469932746
Los Angeles,2014,52.5294001231942
Los Angeles,2014,52.524578099337695
Los Angeles,2014,52.5092825241124
Los Angeles,2014,52.478951782528
San Diego,2014,52.4755987821563
Los Angeles,2014,52.4453387175791
