census_tract,2014_traffic,2019_traffic,2021_traffic,2014_asthma,2019_asthma,2021_asthma,delta_traffic,delta_asthma
6001403300,78.2088062866409,84.897856874295,71.25,99.81289759261568,99.0774217678594,98.753738783649,-6.958806286640893,-1.0591588089666857
6001403400,54.1349632031932,23.7999749342023,22.2375,99.5260072346264,96.7585089141005,95.9995014955135,-31.8974632031932,-3.526505739112906
6001403501,76.2878882374953,73.3174583281113,73.4125,88.3372832730448,51.8887919212068,53.9007976071785,-2.875388237495301,-34.43648566586631
6001403502,83.31046526131969,97.1299661611731,72.3,83.1732568292379,17.8531355192619,12.7741774675972,-11.010465261319695,-70.3990793616407
6001403600,90.270674816016,92.0541421230731,89.65,55.4945740301859,64.5056726094003,49.9875373878365,-0.6206748160159918,-5.507036642349405
6001403701,56.4051390794562,34.7411956385512,41.0875,83.0235749033304,55.7910484976936,47.5324027916251,-15.3176390794562,-35.491172111705296
6001403702,84.3582387426718,81.13798721644318,87.2875,68.6416365223899,60.6532851265428,49.9875373878365,2.929261257328193,-18.654099134553405
6001403800,79.6058375951104,64.8953502945231,67.375,55.4945740301859,64.5056726094003,49.9875373878365,-12.230837595110401,-5.507036642349405
6001403900,81.9882749158039,89.7104900363454,82.1625,52.0643632281402,46.3034534347338,43.2452642073779,0.17422508419609528,-8.819099020762302
6001404000,70.250717225895,71.9012407569871,66.25,38.630410377946895,29.6471761625732,28.5019940179462,-4.000717225895002,-10.128416360000696
6001404101,53.211924660097296,27.1587918285499,44.2625,44.0563801920918,26.941777833187896,25.6480558325025,-8.949424660097293,-18.4083243595893
6001404102,31.55793937882,23.0730668003509,26.875,38.8299862791568,31.7915471886298,36.7397806580259,-4.682939378819999,-2.090205621130899
6001404200,59.3114631408258,35.9067552324853,25.5375,24.3108394661345,8.15359680837801,5.60817547357926,-33.7739631408258,-18.702663992555237
6001404300,78.0341773730822,71.3247274094498,53.95,20.431582886366492,16.5440718114948,7.3654037886341,-24.0841773730822,-13.066179097732391
6001404400,79.4561556692029,77.4157162551698,53.175,35.3873019832855,12.7914225158958,14.5189431704885,-26.281155669202903,-20.868358812797
6001404501,56.6795559436198,51.9488657726532,18.575,40.9380067356867,21.4561775339733,24.9002991026919,-38.1045559436198,-16.0377076329948
