linguistic_isolation_pctl,traffic_pctl,solid_waste_pctl,cardiovascular_disease_pctl
61.0908106645013,38.1625,9.66781214203895,24.4391824526421
43.8760319393693,57.3125,0.0,33.0009970089731
37.6640952767628,66.2625,0.0,9.07278165503489
23.765056164569,12.125,0.0,34.1849451645065
23.765056164569,84.125,0.0,18.39481555334
17.2553796183516,24.05,0.0,41.2387836490528
17.2553796183516,37.375,52.8980526918671,1.08424725822532
0.257138990391122,40.475,0.0,33.4995014955135
4.58790093382054,7.5625,9.66781214203895,18.39481555334
43.294085803221,86.075,0.0,63.5967098703888
33.3062660711869,71.0125,22.0847651775487,14.5189431704885
44.3632426580051,85.2,0.0,10.9795613160518
66.59899851130061,51.675,0.0,18.2577268195414
0.0,22.2875,0.0,0.760219341974078
5.64352415753147,89.925,39.2898052691867,21.036889332004
30.0175937203952,84.825,59.1752577319588,6.54287138584247
4.58790093382054,17.925,0.0,68.0957128614158
14.2779807822439,37.525,0.0,34.2597208374875
0.0,62.5,0.0,3.71385842472582
11.2735146839897,27.2,0.0,22.9187437686939
2.81499526322912,94.65,67.6059564719359,8.83599202392822
27.2567329814589,66.225,99.8167239404353,29.648554336989
8.48558668290702,95.2625,63.6655211912944,34.0478564307079
71.3899039112194,78.0125,0.0,37.9860418743769
44.7557179591284,65.6,0.0,22.2333000997009
4.58790093382054,82.6875,0.0,9.6086739780658
78.9958045743673,39.5125,89.8281786941581,19.9526420737787
14.2779807822439,44.7125,9.66781214203895,34.6211365902293
18.9064826092841,75.6875,2.52004581901489,21.1365902293121
39.2069292191095,85.65,63.6655211912944,22.2333000997009
50.0067668155366,67.9,35.7159221076747,26.8943170488534
3.73528217620788,85.3875,0.0,15.4536390827517
18.9064826092841,19.425,0.0,33.4995014955135
0.0,83.7125,0.0,0.997008973080758
44.3632426580051,63.6375,63.6655211912944,7.46510468594217
58.952496954933,17.1625,0.0,11.228813559322
,70.775,0.0,58.3873379860419
0.0,5.2,11.5922107674685,70.8374875373878
53.3631073216944,28.3,55.5097365406644,20.8624127617149
18.9064826092841,66.8625,52.8980526918671,71.6849451645065
7.37582893490324,21.8,0.0,84.5214356929212
33.9423467316281,15.4375,0.0,66.0144566301097
37.6640952767628,45.7375,9.66781214203895,19.4790628115653
30.0175937203952,18.75,2.52004581901489,69.6286141575274
50.5210447963188,22.35,0.0,40.6405782652044
18.9064826092841,95.075,66.6895761741122,35.4062811565304
41.4399783461903,58.05,0.0,66.6500498504487
48.1932602517255,63.25,0.0,9.38434695912263
49.0864799025579,77.775,66.6895761741122,18.6191425722832
18.9064826092841,42.925,0.0,15.5284147557328
30.694275274056,98.9375,0.0,5.58325024925224
36.9738800920287,76.65,0.0,37.4376869391824
58.952496954933,82.1,0.0,14.8928215353938
24.766544863987,91.65,0.0,27.0189431704885
22.8989037758831,40.025,79.9541809851088,39.6186440677966
23.765056164569,20.9625,0.0,50.5608175473579
36.9738800920287,5.375,52.8980526918671,18.2577268195414
68.8591149005278,50.7,13.0126002290951,29.8853439680957
7.37582893490324,1.475,70.4238258877434,32.1161515453639
7.37582893490324,30.3875,63.6655211912944,21.5229312063809
22.8989037758831,70.575,96.0137457044674,37.1759720837488
20.584652862363,98.2125,0.0,47.1834496510469
30.694275274056,84.5125,0.0,30.8574277168495
42.8068750845852,27.7875,0.0,8.99800598205384
15.6448775206388,38.6875,81.3058419243986,26.1465603190429
0.0,98.75,0.0,23.1306081754736
11.2735146839897,10.5125,0.0,0.747756729810568
38.6114494518879,22.275,0.0,34.4092721834497
13.3035593449723,94.6375,22.0847651775487,44.130109670987
16.3621599675193,78.275,0.0,10.4810568295115
42.8068750845852,11.6625,0.0,41.7497507477567
49.5736906211937,53.675,0.0,11.6276171485543
6.26607118689945,66.9375,52.8980526918671,0.510967098703888
11.2735146839897,82.5125,0.0,8.27517447657029
10.4479631885235,24.6625,0.0,33.9232303090728
30.694275274056,36.6375,0.0,10.0074775672981
16.3621599675193,68.6,66.8957617411226,7.01645064805583
35.9994586547571,68.9125,0.0,25.9471585244267
15.6448775206388,81.0875,0.0,49.8255234297109
48.1932602517255,26.6875,0.0,8.76121635094716
27.2567329814589,78.7875,0.0,7.37786640079761
14.2779807822439,98.6,0.0,3.57676969092722
23.765056164569,76.45,0.0,6.75473579262213
32.6431181485993,97.35,43.9404352806415,21.036889332004
60.6171335769387,90.125,80.0916380297824,29.648554336989
46.0008120178644,92.225,0.0,41.7497507477567
23.765056164569,75.5375,52.8980526918671,47.6196410767697
45.3782649884964,57.675,0.0,36.2786640079761
5.64352415753147,59.2,0.0,83.6365902293121
72.2560562999053,40.1625,84.7422680412371,22.5947158524427
4.58790093382054,54.8875,0.0,10.5807577268195
,1.9,0.0,55.9820538384845
0.0,56.675,0.0,10.9795613160518
33.9423467316281,3.4,0.0,16.3260219341974
5.64352415753147,75.4875,0.0,7.21585244267198
53.8638516714034,87.325,92.9896907216495,40.4162512462612
46.0008120178644,73.2375,0.0,23.5917248255234
52.0097442143727,99.625,52.8980526918671,25.0747756729811
60.6171335769387,79.7,0.0,4.72333000997009
18.1079983759643,36.1375,14.7079037800687,61.6899302093719
22.1680876979294,76.675,0.0,16.9366899302094
40.4384896467722,56.7,0.0,45.5383848454636
26.4041142238463,40.4125,0.0,32.901296111665
15.6448775206388,80.675,0.0,3.06580259222333
15.6448775206388,88.6375,60.8705612829324,41.8494516450648
28.7995669238057,59.35,2.52004581901489,42.6844466600199
2.81499526322912,46.525,0.0,50.9346959122632
0.0,69.325,59.1752577319588,54.9601196410768
49.5736906211937,56.6125,0.0,4.9975074775673
32.6431181485993,33.875,0.0,29.3743768693918
23.765056164569,37.7625,9.66781214203895,40.191924227318
2.81499526322912,38.925,43.9404352806415,26.7572283150548
24.766544863987,76.05,0.0,0.922233300099701
42.1166598998511,60.45,0.0,5.54586241276172
14.8599269183922,4.325,0.0,29.8853439680957
10.4479631885235,80.2125,9.66781214203895,4.83549351944168
0.0,8.7125,0.0,37.5
23.765056164569,88.6125,84.7422680412371,66.9990029910269
61.9028285288943,45.575,0.0,28.8260219341974
32.6431181485993,90.95,0.0,52.2806580259222
21.4237379889024,22.525,0.0,85.3813559322034
67.7222898903776,48.075,37.5715922107675,24.4391824526421
14.2779807822439,10.85,0.0,68.7063808574277
11.2735146839897,26.2875,9.66781214203895,33.9232303090728
35.9994586547571,21.825,92.8064146620848,17.5847457627119
33.9423467316281,81.6125,9.66781214203895,64.4192422731805
9.46000812017864,16.9125,0.0,21.2986041874377
0.257138990391122,49.6125,0.0,44.765702891326
22.8989037758831,80.0625,35.7159221076747,45.0274177467597
20.584652862363,28.15,0.0,3.85094715852443
0.920286912978752,35.4,0.0,25.7352941176471
29.5303830017594,87.7625,0.0,14.7432701894317
24.766544863987,39.225,0.0,40.4162512462612
19.8673704154825,2.7125,22.0847651775487,23.1306081754736
0.0,80.95,0.0,10.7303090727817
14.8599269183922,12.3375,0.0,17.6719840478564
27.2567329814589,10.1125,0.0,21.6101694915254
42.8068750845852,69.6875,22.0847651775487,78.5019940179462
16.3621599675193,66.975,91.0423825887743,22.9187437686939
26.4041142238463,38.2625,22.0847651775487,24.4391824526421
7.37582893490324,82.2,0.0,23.4670987038883
33.3062660711869,16.825,0.0,14.9925224327019
2.81499526322912,62.0875,0.0,31.0319042871386
23.765056164569,55.05,0.0,31.9915254237288
30.694275274056,67.425,0.0,0.398803589232303
14.2779807822439,35.6625,52.8980526918671,26.4830508474576
41.4399783461903,82.7875,0.0,7.12861415752742
4.58790093382054,40.675,2.52004581901489,53.3399800598205
25.5514954662336,89.2625,0.0,23.728813559322
52.0097442143727,67.7125,35.7159221076747,42.809072781655
0.0,4.75,76.3573883161512,70.6006979062812
2.81499526322912,5.3625,14.4329896907216,34.2597208374875
25.5514954662336,80.7625,0.0,1.80707876370887
40.4384896467722,77.55,0.0,2.00648055832502
20.584652862363,56.8625,42.3138602520046,5.67048853439681
0.0,25.0375,11.5922107674685,29.9975074775673
