census_tract,delta_2014_2021
6001410100,6.246341499505906
6001410200,1.5328380958454986
6001410300,-3.5598117019743007
6001410400,0.7098368917210998
6001410500,12.256578999474101
6001420100,-1.0624759480432502
6001420200,-1.8294839956760995
6001420300,-8.781967910268598
6001420400,-2.7524190501791033
6001420500,6.2636715461969
6001420600,-11.25384466815727
6001421100,-1.7423015267800492
6001421200,-1.2298982558410394
6001421300,-4.839240675210463
6001421400,-1.1773544662186506
6001421500,-0.5683841026453802
6001421600,-5.22991217702958
6001421700,3.4738598889946894
6001421800,-3.2240147662417797
6001421900,3.311229146948399
6001422000,4.751018338991603
6001422100,1.5982768052795002
6001422200,2.5522241612369996
6001422300,6.047396378800302
6001422400,3.6344099534245
6001422500,3.5078862438823
6001422700,-1.6166744614286017
6001422800,-2.0473216874834996
6001422900,-0.25855601957649554
6001423000,7.9101472621666
6001423100,3.4087088891086985
6001423200,13.187396786244495
6001423300,9.143812697212297
6001423400,-3.1527958605175
6001423500,0.6630131889513997
6001423601,0.5810733104528918
6001423602,-0.9205261413388008
6001423700,-4.890788162898289
6001423800,-3.679693081094979
6001423901,4.823413964281098
6001423902,-0.2896846994894986
6001424001,3.1779137185686004
6001424002,2.6102283815591996
6001425101,7.550509120744799
6001425102,4.546143848663
6001425103,4.482069259664801
6001425104,-0.17342497238630372
6001426100,-5.89428530941626
6001426200,0.8888201375439309
6001427100,-2.1257568871914003
6001427200,14.375657399188206
6001427300,4.105217595317303
6001427600,12.277486650753598
6001427700,6.651888720983001
6001427800,1.6037437889268986
6001427900,1.786659170908802
6001428000,4.313649733589195
6001428100,-1.860034071785499
6001428200,3.0587056436332993
6001428301,-4.811296746628802
6001428302,-1.6759286658055004
6001428400,-6.988546385525101
6001428500,-2.273857591450401
6001428600,-3.6126089284133
6001428700,9.058661640025498
6001430101,5.280334795448649
6001430102,-5.75399137393373
6001430200,-1.803463541575752
6001430300,-3.087503240004059
6001430400,-4.05126983329888
6001430500,10.852158694313399
6001430600,-0.21566879229280111
6001430700,-1.6740214690525992
6001430800,9.730707142154298
6001430900,11.081814629212502
6001431000,8.268075112470402
6001431100,-2.664695639824
6001431200,-0.4725940061157985
6001432100,3.911789416337097
6001432200,-0.9225839767797019
6001432300,-1.2363226831862022
6001432400,8.521281246559298
6001432501,6.092456953827103
6001432502,1.8565431508650008
6001432600,5.116129004959298
6001432700,3.3115593275365
6001432800,-1.4965455517960002
6001433000,-3.7109577547497956
6001433102,4.192535962295306
6001433103,-3.6512694345409997
6001433104,5.298895481995498
6001433200,1.6306374119408034
6001433300,10.270923385725801
6001433400,-7.763690593153402
6001433500,5.431397636068198
6001433600,4.594811138638207
6001433700,7.717066460168599
6001433800,3.3997556784695995
6001433900,10.234041279127208
6001434000,6.958002675956106
6001435102,-1.79719083457843
6001435103,-4.615164544157319
6001435104,9.040099057579098
6001435200,-3.083129398243395
6001435300,-1.6632820470100995
6001435400,8.714637888223994
6001435500,12.491794321569497
6001435601,7.6450213316669995
6001435602,2.3384665226187984
6001435700,2.6904530988725988
6001435800,2.8018542261956014
6001435900,-1.756165964769096
6001436000,4.868681946497201
6001436100,0.39699440518749896
6001436200,-0.8242017661909955
6001436300,2.7580701131782988
6001436401,2.1847245806942013
6001436402,-8.56494002781084
6001436500,5.759093878627301
6001436601,4.9373122564250025
6001436602,7.598810039820403
6001436700,-2.2804280225028
6001436800,10.692606265037298
6001436900,-4.1222697118703024
6001437000,10.994265549694099
6001437101,-1.0903329396460961
6001437102,6.854769216866902
6001437200,-2.7701500247177933
6001437300,5.848749316405797
6001437400,0.7031441117471999
6001437500,-0.2003116451422997
6001437600,0.8425980539687004
6001437701,7.379648396706401
6001437702,-0.2990648665764013
6001437800,1.2949768621859015
6001437900,4.282331805240599
6001438000,7.613422326817002
6001438100,6.651249056404499
6001438201,6.329463274312598
6001438203,0.915741812839002
6001438204,1.2393671417665004
6001438300,10.534079987014398
6001438400,3.5100985065597996
6001440100,4.738126137627798
6001440200,14.052059148431798
6001440301,0.7183271480699958
6001440304,0.3904757137893
6001440305,-3.65757746088919
6001440306,-1.7341721834316992
6001440307,-2.3997670170462975
6001440308,7.1780395557874
6001440331,2.360313714502304
6001440332,-1.4459615690606
6001440333,6.401937489959604
6001440334,-1.4954274444364017
6001440335,-2.015463074814594
6001440336,1.0151198822774
6001441100,0.19439339103660203
6001441200,-0.38701604346419316
6001441301,1.3492270196073015
6001441302,-5.741186850232479
6001441401,-0.027761420778400492
6001441402,-4.8124080272701
6001441501,-5.07519682679549
6001441503,-2.246829133542601
6001441521,-1.2226391018835
