census_tract,latitude,longitude,delta_2014_2021
6001405700,37.7982307,-122.2296737,3.454689299502398
6001405800,37.7939452,-122.2330985,3.2206121035328046
6001405901,37.787786,-122.2357701,5.5453282867521025
6001405902,37.7909446,-122.240953,8.084089694378797
6001406000,37.7875675,-122.246184,8.7234139366914
6001406100,37.7741552,-122.2275943,16.267921851157404
6001406201,37.7850448,-122.230736,11.254693941828101
6001406202,37.7819786,-122.2265557,9.2020522427094
6001406300,37.7892881,-122.2250125,4.150380569015695
6001406400,37.796806,-122.2217201,-6.741317236547598
6001406500,37.7880813,-122.2169867,7.6579341726252
6001406601,37.7936085,-122.2079568,1.8755738228066008
6001406602,37.7964782,-122.2143073,8.6685190643312
6001406700,37.8033164,-122.2022249,-4.442048199333
6001406800,37.7978944,-122.1949575,-1.0196407960354001
6001406900,37.7932754,-122.1903803,2.8637115219781
6001407000,37.787943,-122.2024899,3.9987070884062987
6001407101,37.7831287,-122.2143966,2.178330404476899
6001407102,37.7807761,-122.2102385,5.255223897672803
6001407200,37.7777848,-122.2192819,10.8744297652893
6001407300,37.7621786,-122.2109235,23.464548133597496
6001407400,37.7710407,-122.2067479,10.147612779871999
6001407500,37.769515,-122.1976091,6.272712320901498
6001407600,37.7775293,-122.2031992,0.47088808284780015
6001407700,37.7765228,-122.1931965,-0.1413660881598009
6001407800,37.7817414,-122.1866595,-0.8024189251758997
6001407900,37.7884276,-122.1847835,1.9669079197677988
6001408000,37.805237,-122.1887608,-4.6726754594347195
6001408100,37.785376,-122.1574761,0.22995008288050123
6001408200,37.7751005,-122.1755727,7.3874599402284975
6001408300,37.7710979,-122.1645166,11.7650209535743
6001408400,37.7646056,-122.1709595,4.651077004529601
6001408500,37.7604176,-122.1785112,5.779377223339306
6001408600,37.7661964,-122.1823031,5.671659766144497
6001408700,37.7688611,-122.1889435,-0.2017438975875976
6001408800,37.7588039,-122.1969422,6.941967542438498
6001408900,37.7541816,-122.1887803,13.259347692394101
6001409000,37.7200105,-122.2213677,16.1673704620488
6001409100,37.7323261,-122.1834997,18.254960206944197
6001409200,37.7290846,-122.1777872,-1.3211425049428982
6001409300,37.737851,-122.1733521,-3.682476387218898
6001409400,37.744613,-122.1803623,9.321656268419801
6001409500,37.7504463,-122.1837659,14.121466658054906
6001409600,37.7532669,-122.1726197,4.364585986996602
6001409700,37.7564187,-122.1658929,-1.110608774916102
6001409800,37.7603609,-122.1557636,8.248908085431598
