geoid,delta_2014_2021
06013307205,9.661290644379502
06013308001,9.344228180484698
06013308002,14.821136087988702
06013309000,19.218412683739103
06013310000,10.690400926635299
06013311000,4.631693752819004
06013312000,13.335666591451506
06013313101,2.2538047964961976
06013313102,-2.4104721879853983
06013313103,5.317902448472097
06013313203,-1.9661513910096993
06013313204,7.432047180396701
06013313205,9.539353769897598
06013313206,0.8594731578598029
06013314102,4.520069463284393
06013314103,2.3131524816028985
06013314104,9.0023604844908
06013314200,18.6838506680154
06013315000,15.9220353440281
06013316000,1.1555955975969994
06013317000,5.030249846016201
06013318000,0.12216804915330215
06013319000,-0.8476367039961001
06013320001,-3.003094163493202
06013320003,-5.116668858412
06013320004,7.4837607947630005
06013321101,2.6374508442207993
06013321102,-4.726804113497542
06013321103,-6.35692860794098
06013321200,-7.088513962927102
06013322000,-2.897923319551099
06013323000,-3.221707959362101
06013324001,-1.8390538984614988
06013324002,1.6667189772438
06013325000,1.3355257020139994
06013326000,-7.723278092771679
06013327000,13.302183781479602
06013328000,0.11607847073129918
06013329000,13.174217157378106
06013330000,7.671781955286299
06013331000,5.3361863497102995
06013332000,1.3702015509991003
06013333101,4.1433491526371
06013333102,0.6231128872778999
06013333200,-1.3926415636141947
06013334001,1.3717045870664002
06013334004,1.1374609959650979
06013334006,-4.06799098413355
06013334200,-3.8991477611105303
06013335000,0.6920867352819009
06013336101,5.693532959314602
06013336102,7.259387051307996
06013336201,16.925453207949403
06013336202,4.8424875619962044
06013337100,-7.568606148336796
06013337200,-3.8252472627881
06013337300,-1.7055986155180403
06013338101,4.3184675902917
06013338102,-5.72625560321228
06013338201,-7.0219961253728
06013338203,1.2975173474879806
06013338204,-6.249341414868221
06013338301,-1.6504420687488608
06013338302,-2.3376537108959576
06013339001,8.8045958904911
06013339002,0.6586835278079999
06013340001,0.7861935652646999
06013340002,-2.170155619848078
06013341000,-2.7272151752349307
06013343001,0.1485569372368012
06013343002,-7.77561664040563
06013343003,-1.8488171895974594
06013345101,-2.77565051365187
06013345102,-1.4782289193363702
06013345103,-6.376617034688989
06013345105,-2.2179462725410772
06013345108,-4.060929137546009
06013345111,-1.9544362604405006
06013345112,-1.6344720299138498
